gold_label	sentence1	sentence2	pairID
neutral	Where he was a , he was a minister's son, so he had, they had property, and stuff, and they were very well-connected in the community and very, held in high esteem.	His dad was a Lutheran pastor.	637
contradiction	Where he was a , he was a minister's son, so he had, they had property, and stuff, and they were very well-connected in the community and very, held in high esteem.	His dad was a convict who never went to church.	638
entailment	Where he was a , he was a minister's son, so he had, they had property, and stuff, and they were very well-connected in the community and very, held in high esteem.	His dad was a pastor.	639
contradiction	And I um, I didn't know how much detail he wanted.	I gave him every detail because I knew he wanted it.	644
entailment	And I um, I didn't know how much detail he wanted.	I wasn't sure how in depth it should be.	645
contradiction	And um, it's different, like under each client, is all their files.	They don't have any of the files.	652
entailment	And um, it's different, like under each client, is all their files.	They keep all the files.	653
neutral	And um, it's different, like under each client, is all their files.	They keep the medical and legal files all together.	654
entailment	It's like more simplified, like the one that she had given me was all detailed and complicated and the second one is all simple.	She gave me two different versions.	655
neutral	It's like more simplified, like the one that she had given me was all detailed and complicated and the second one is all simple.	She gave me two types of instructions and i prefered the detailed ones.	656
contradiction	It's like more simplified, like the one that she had given me was all detailed and complicated and the second one is all simple.	She only gave me one version and it was just a few lines lone.	657
neutral	Cause they didn't actually live in Augusta, they lived in, well you know, Augusta was still a city-town during that time, even though to people in big cities like this Augusta isn't that big.	Augusta has 10,000 people in it.	658
entailment	Cause they didn't actually live in Augusta, they lived in, well you know, Augusta was still a city-town during that time, even though to people in big cities like this Augusta isn't that big.	Augusta isn't a large city.	659
contradiction	Cause they didn't actually live in Augusta, they lived in, well you know, Augusta was still a city-town during that time, even though to people in big cities like this Augusta isn't that big.	They lived in the heart of Augusta.	660
entailment	Late 1962, uh, I got orders to go to Washington, D.C.	I was told to go to DC.	661
neutral	Late 1962, uh, I got orders to go to Washington, D.C.	The army sent me to DC right away.	662
contradiction	Late 1962, uh, I got orders to go to Washington, D.C.	They told me to go to Africa.	663
entailment	When DOT took his property, we moved to a smaller, smaller area in Concord where you are not allowed to have animals because it's zoned and so that's the end of the animal story.	Our house in Concord couldn't allow animals.	664
contradiction	When DOT took his property, we moved to a smaller, smaller area in Concord where you are not allowed to have animals because it's zoned and so that's the end of the animal story.	Our house in Concord had 30000 acres and lots of animals.	665
neutral	When DOT took his property, we moved to a smaller, smaller area in Concord where you are not allowed to have animals because it's zoned and so that's the end of the animal story.	We sold all our animals when we moved to Concord.	666
entailment	Anyway, we deployed and I can tell now be, because of this that, that, that, uh, we deployed to Kadina, Okinawa, and this was in 1968.	We deployed our forces in 1968.	667
contradiction	Anyway, we deployed and I can tell now be, because of this that, that, that, uh, we deployed to Kadina, Okinawa, and this was in 1968.	We never ended up deploying anyone.	668
contradiction	He told me what exactly he needed and that he did need it by today.	He said I could turn it in whenever.	670
neutral	He told me what exactly he needed and that he did need it by today.	He told me I had to finish the whole project by 2pm.	671
entailment	He told me what exactly he needed and that he did need it by today.	He told me it was urgent.	672
neutral	She had gone already and she told me just don't worry about it.	She said I should just assume the school would be fine.	673
entailment	She had gone already and she told me just don't worry about it.	She said I shouldn't fret.	674
contradiction	She had gone already and she told me just don't worry about it.	She said it was time to panic.	675
entailment	This is just, you know, Look you're in trouble.	You are in danger.	676
contradiction	This is just, you know, Look you're in trouble.	You'll be just fine!	677
neutral	This is just, you know, Look you're in trouble.	You're in danger of being deported.	678
neutral	And so you know, eventually, you know, you know, they kept asking people around, and nobody knew where they were, and eventually, you know, they just reconciled themselves that they just wouldn't see Joe again.	Joe was the only person who had a key to the break room.	682
contradiction	And so you know, eventually, you know, you know, they kept asking people around, and nobody knew where they were, and eventually, you know, they just reconciled themselves that they just wouldn't see Joe again.	No mater how hard we tried we just couldnt get Joe to leave us alone.	683
entailment	And so you know, eventually, you know, you know, they kept asking people around, and nobody knew where they were, and eventually, you know, they just reconciled themselves that they just wouldn't see Joe again.	One day Joe was just gone and nobody could figure out where he went.	684
entailment	I told them my sister's.	I blamed it on my sister.	685
contradiction	I told them my sister's.	I said it was mine.	686
neutral	I told them my sister's.	I told them the dog belonged to my sister.	687
neutral	And she said then her mama, her mama leaned forward, and she looked and she said, Walks like him.	She said her mom also walks on her tip toes.	688
entailment	And she said then her mama, her mama leaned forward, and she looked and she said, Walks like him.	She said her mom has the same walk.	689
contradiction	And she said then her mama, her mama leaned forward, and she looked and she said, Walks like him.	She said her mom is paralyzed and can't walk.	690
neutral	you know, and she's stuffing the petals up there and I didn't really know of any consequences.	I didn't know she'd get very sick.	694
entailment	you know, and she's stuffing the petals up there and I didn't really know of any consequences.	I didn't know what would happen to her.	695
contradiction	you know, and she's stuffing the petals up there and I didn't really know of any consequences.	I knew what was going to happen when she did that.	696
contradiction	Ah, another thing that happened there that I thought was interesting was one of the first memories of my sister, and that was in that very same backyard.	I have no memories of that house.	700
neutral	Ah, another thing that happened there that I thought was interesting was one of the first memories of my sister, and that was in that very same backyard.	I remembered picking daisies in the backyard.	701
entailment	Ah, another thing that happened there that I thought was interesting was one of the first memories of my sister, and that was in that very same backyard.	I remembered something that happened in the backyard.	702
entailment	So all that stressing and I mean, I had every reason to stress today, it was like, you're giving something you don't know how to do, and it's like here do it.	I did not know how to do the job I was assigned today.	706
neutral	So all that stressing and I mean, I had every reason to stress today, it was like, you're giving something you don't know how to do, and it's like here do it.	I was told to replace the office fuse box, but I know nothing about electrical wiring.	707
contradiction	So all that stressing and I mean, I had every reason to stress today, it was like, you're giving something you don't know how to do, and it's like here do it.	Today I was asked to perform only duties that I am well trained to perform.	708
contradiction	So now, here it is, he wants it today.	He says he can get it whenever.	709
entailment	So now, here it is, he wants it today.	He says he would like to get it today.	710
neutral	So now, here it is, he wants it today.	He says he would like to get the final project by 5pm.	711
entailment	And unfortunately we moved again.	We moved another time.	712
neutral	And unfortunately we moved again.	We moved to yet another state in 1992.	713
contradiction	And unfortunately we moved again.	We never moved after that.	714
entailment	I didn't really know Mrs. Faulk very well she was about 80 and, ah, she was a nice person I had seen her a few times but I was really nervous about that.	I had seen Mrs. Faulk a few times but did not know her well.	724
contradiction	I didn't really know Mrs. Faulk very well she was about 80 and, ah, she was a nice person I had seen her a few times but I was really nervous about that.	I was very close friends with Mrs. Faulk.	725
neutral	I didn't really know Mrs. Faulk very well she was about 80 and, ah, she was a nice person I had seen her a few times but I was really nervous about that.	Mrs. Faulk drove a yellow Honda to work every day.	726
neutral	We lived off, um, 85 in Mallard Creek where currently the 485 is now cause then the like last ten years we had to move because of the 485.	We lived there in the green house.	730
entailment	We lived off, um, 85 in Mallard Creek where currently the 485 is now cause then the like last ten years we had to move because of the 485.	We lived there many years.	731
contradiction	We lived off, um, 85 in Mallard Creek where currently the 485 is now cause then the like last ten years we had to move because of the 485.	We only lived there two weeks.	732
entailment	Boss, he was like with split personality man.	He was moody.	736
neutral	Boss, he was like with split personality man.	My boss was either really happy or really mad.	737
contradiction	Boss, he was like with split personality man.	My boss was mellow and consistent.	738
neutral	He's old enough to be my daddy.	He's 27 years older than me.	742
contradiction	He's old enough to be my daddy.	He's much younger than I am.	743
entailment	He's old enough to be my daddy.	He's older than me.	744
entailment	Everything is linked, and gosh, I don't even know how long.	I don't know how long it lasts.	745
neutral	Everything is linked, and gosh, I don't even know how long.	I don't know how long the story is running.	746
contradiction	Everything is linked, and gosh, I don't even know how long.	I know it's 4 feet long.	747
contradiction	This time I wasn't even happy that she was there because I was so stressed out.	I was so happy and relaxed!	748
neutral	This time I wasn't even happy that she was there because I was so stressed out.	I was too anxious to be happy that she had arrived a day earlier.	749
entailment	This time I wasn't even happy that she was there because I was so stressed out.	I was too anxious to be happy that she was there.	750
neutral	and that's a lot of it is due to the fact that the mothers are on drugs	The mothers are drug addicts.	751
entailment	and that's a lot of it is due to the fact that the mothers are on drugs	The mothers take drugs.	753
entailment	yeah it's real nice has it been raining	It is nice and rainy.	755
contradiction	yeah it's real nice has it been raining	It is so horrible with the never ending sunshine.	756
neutral	oh what human life is worth and whether or not you can rehabilitate somebody	All lives are worth rehab and second chances.	757
contradiction	oh what human life is worth and whether or not you can rehabilitate somebody	No humans deserve to be rehabilitated.	758
entailment	oh what human life is worth and whether or not you can rehabilitate somebody	Regardless of rehabilitation what life is worth it.	759
neutral	oh boy you do have a strange wiring problem there	I've never seen this kind of wiring problem before.	760
contradiction	oh boy you do have a strange wiring problem there	The wiring isn't the issue.	761
entailment	oh boy you do have a strange wiring problem there	There's a problem caused by this odd wiring.	762
contradiction	sounds like a lot of fun yeah it's amazing to me how how many things they would allow	I'm not at all surprised that they were leinient.	763
neutral	sounds like a lot of fun yeah it's amazing to me how how many things they would allow	I'm surprised that they let you take food and drinks in there.	764
entailment	sounds like a lot of fun yeah it's amazing to me how how many things they would allow	I'm surprised what they could get away with.	765
neutral	yeah exactly i mean by the time you get through outfitting yourself and then having to go sweat doing it uh you could you could go on a Club med uh  everything inclusive vacati on	It costs $2000 to buy everything you need.	766
entailment	yeah exactly i mean by the time you get through outfitting yourself and then having to go sweat doing it uh you could you could go on a Club med uh  everything inclusive vacati on	It costs a lot to outfit yourself.	767
contradiction	yeah exactly i mean by the time you get through outfitting yourself and then having to go sweat doing it uh you could you could go on a Club med uh  everything inclusive vacati on	It's really cheap to get outfitted.	768
entailment	oh but anyway anyway um my kids are now twenty one and twenty four so i don't have to	I do not need to because my children are over the age of twenty.	778
neutral	oh but anyway anyway um my kids are now twenty one and twenty four so i don't have to	I might have to since they are close in age.	779
contradiction	oh but anyway anyway um my kids are now twenty one and twenty four so i don't have to	I must since they are both ten and eleven years old.	780
neutral	yeah uh-huh yeah well this is Fresno uh-huh	I was born in Fresno.	781
contradiction	yeah uh-huh yeah well this is Fresno uh-huh	I'm not sure where this is.	782
entailment	yeah uh-huh yeah well this is Fresno uh-huh	I'm telling you that this is Fresno.	783
entailment	yeah people who who could be at work at any time or whose decisions could be clouded if they had to make a decision	Yeah, people who might not be able to make the best judgment calls.	784
contradiction	yeah people who who could be at work at any time or whose decisions could be clouded if they had to make a decision	Yeah, people whose decision faculties are never impaired.	786
entailment	no they're still they're still on tour they've been touring since late sixties	They have been touring since before 1970.	787
neutral	no they're still they're still on tour they've been touring since late sixties	They love touring.	788
contradiction	no they're still they're still on tour they've been touring since late sixties	They recently ended their tour.	789
entailment	how would you do aerobics	Can you explain how you'd perform aerobics?	790
neutral	how would you do aerobics	I'm interested in aerobics because I need some cardiovascular activity.	791
contradiction	how would you do aerobics	Please stop talking about aerobics.	792
neutral	well that's a good one i hadn't thought about that yeah	The paradox you mention is a good point.	798
contradiction	day care  two days a week they call it senior citizen day care but she goes to the senior citizen center	The day care is open every day for children under the age of five only.	802
neutral	day care  two days a week they call it senior citizen day care but she goes to the senior citizen center	They do let them go more than twice a week if the senior citizens are up to it.	803
entailment	day care  two days a week they call it senior citizen day care but she goes to the senior citizen center	They refer to it as a senior day care but it is called the senior center.	804
entailment	that was their goal oh	That is what they had been striving for.	808
contradiction	that was their goal oh	That was never what they wanted.	809
neutral	that was their goal oh	They achieved their goal.	810
neutral	gun control means using two hands	Half of all gun misfires result from single-hand use.	811
contradiction	gun control means using two hands	The best way forward for gun control is to use both feet.	812
entailment	gun control means using two hands	Use both hands if you want to practice gun control.	813
entailment	and uh but it suddenly comes from somewhere i don't know where it comes from but	I do not know where it comes from but it is swift.	814
neutral	and uh but it suddenly comes from somewhere i don't know where it comes from but	It comes by fast but I kinda know where it may be coming from.	815
contradiction	and uh but it suddenly comes from somewhere i don't know where it comes from but	It comes like molasses and I know exactly when it will be coming.	816
entailment	no in fact i'm not even familiar with it i don't think	I don't know much about it.	820
neutral	no in fact i'm not even familiar with it i don't think	I'm ignorant in matters of love.	821
contradiction	no in fact i'm not even familiar with it i don't think	I've been studying it for years.	822
neutral	yeah she was great you know she	I think she knows that she was awesome.	823
contradiction	yeah she was great you know she	No she was horrible.	824
entailment	yeah she was great you know she	Yes she was very good.	825
entailment	yeah he suggested just getting uh um a uh um a mop like you would use	He suggested finding a mop.	830
neutral	yeah he suggested just getting uh um a uh um a mop like you would use	He wanted to clean up the blood with a mop.	831
contradiction	its really bad out here we just had a freeway shooting about three blocks from our house	The shooting was at least 100 miles from where I live.	832
neutral	its really bad out here we just had a freeway shooting about three blocks from our house	The shooting was close to my house and it makes me scared to go outside.	833
entailment	its really bad out here we just had a freeway shooting about three blocks from our house	There was a shooting close to my home, it is really not good in this area.	834
contradiction	uh-huh that's true it is it's not really uh consistent	I disagree with you, it is very consistent.	838
neutral	uh-huh that's true it is it's not really uh consistent	I think you may be correct about its consistency.	839
entailment	uh-huh that's true it is it's not really uh consistent	You are correct about it not be consistent.	840
entailment	i'm trying to hang in there	I am attempting to hang on.	844
neutral	i'm trying to hang in there	I really am doing my best.	845
contradiction	i'm trying to hang in there	I will let go and never look back.	846
neutral	yes oh what sort of puppy do you have	Is your puppy a good boy?	847
contradiction	yes oh what sort of puppy do you have	What kind of cat did you rescue?	848
entailment	yes oh what sort of puppy do you have	What kind of young dog do you have?	849
neutral	well you said you have kids how old	How many children do you have?	850
contradiction	well you said you have kids how old	I am sorry to hear that you were not able to have children.	851
entailment	they probably weren't the most brilliant people in the world but they uh were very personable and took uh a interest in people who were willing to study	They may not have been the smartest but they were very friendly and were interested in those that study.	853
neutral	they probably weren't the most brilliant people in the world but they uh were very personable and took uh a interest in people who were willing to study	They were really smart but played dumb when around others they did not know very well.	854
entailment	you know all my children excel they're they're really good and i guess no he learns from the older boys too but	He has learned from the older male children but all of my offspring outshine.	859
neutral	you know all my children excel they're they're really good and i guess no he learns from the older boys too but	I am very proud of how much my children know.	860
contradiction	you know all my children excel they're they're really good and i guess no he learns from the older boys too but	My kids are truly idiotic.	861
entailment	and it would also cause people to compact their garbage more uh and uh and limiting the volume is probably a little bit closer to the real problem than limiting the weight	People constraining the amount of garbage is closer to the issue than the weight of the actual garbage.	862
contradiction	and it would also cause people to compact their garbage more uh and uh and limiting the volume is probably a little bit closer to the real problem than limiting the weight	People do not need to worry about the amount of garbage as long as they dispose of it properly.	863
neutral	and it would also cause people to compact their garbage more uh and uh and limiting the volume is probably a little bit closer to the real problem than limiting the weight	People need to consider both the volume and the weight of the garbage they are producing.	864
contradiction	so if there's a mistake it's your mistake i guess	Do not worry, if there is a mistake I will help take the blame.	868
entailment	so if there's a mistake it's your mistake i guess	If there is an error it belongs to you.	869
entailment	you know especially making the seams and things like that you know it's it's got such a professional finish on them	The seams are done in a very skillful way.	871
contradiction	you know especially making the seams and things like that you know it's it's got such a professional finish on them	The seams were done in a rush and look very sloppy.	872
neutral	you know especially making the seams and things like that you know it's it's got such a professional finish on them	They took a long time to finish the seams.	873
entailment	yeah yeah my place you get two weeks when you start and then every every year they give you an extra day until you've got four weeks	Your time keeps increasing every year.	874
contradiction	yeah yeah my place you get two weeks when you start and then every every year they give you an extra day until you've got four weeks	Your time never goes above three days.	875
contradiction	uh that's what's nice about living more in the country you don't have to worry about any of that	Being in the country makes you live in constant fear of things just like that.	877
entailment	uh that's what's nice about living more in the country you don't have to worry about any of that	What is great about being in the country is you do not have to fret over things like that.	878
neutral	uh that's what's nice about living more in the country you don't have to worry about any of that	What is really swell is in the country you do not have to worry about that like you would in a city.	879
neutral	oh oh my word well that sounds adventuresome	That seems like either a lot of fun or rrally boring.	880
entailment	oh oh my word well that sounds adventuresome	That sounds like a great adventure.	881
contradiction	oh oh my word well that sounds adventuresome	That sounds like an awful experience.	882
entailment	and now i have got a sister in Germany	Currently I have a sibling residing in Germany.	886
contradiction	and now i have got a sister in Germany	I have a sister that is right now in Cuba.	887
neutral	and now i have got a sister in Germany	I have a sister that speaks German.	888
neutral	i have a younger daughter now and uh i it's kind of hard to get her  get her there and everything but i am going to to uh	I might be able to get my daughter there.	889
contradiction	i have a younger daughter now and uh i it's kind of hard to get her  get her there and everything but i am going to to uh	My daughter has her own way to get there now that she can drive.	891
contradiction	yeah have a nice summer	I hope you have a miserable summer break.	892
neutral	yeah have a nice summer	Indeed summer will be here soon.	893
entailment	yeah have a nice summer	Yes, have a pleasant summer.	894
entailment	we're not real naturalists or anything but um	Actually we do not consider ourselves to be naturalists.	901
contradiction	we're not real naturalists or anything but um	We are totally true naturalists and are insulted to be thought of otherwise!	902
neutral	we're not real naturalists or anything but um	We would like to someday strive to be naturalists but right now we are not.	903
entailment	yeah i remember my grandparents and i used to always get out there on the road and pick up beer cans and uh	I used to help my grandparents with picking up cans from the road.	905
contradiction	yeah i remember my grandparents and i used to always get out there on the road and pick up beer cans and uh	We used to go party at my dad's house.	906
entailment	so this is this is not your first experience with  with a dog	Apparently this is not your first time with a dog.	907
contradiction	so this is this is not your first experience with  with a dog	I am sorry I did not know this was your first time ever seeing a dog.	908
neutral	so this is this is not your first experience with  with a dog	This is not your first time handling a domesticated animal.	909
neutral	right right don't go through the whole nine yards and	You can just tell me the end of the story.	910
entailment	right right don't go through the whole nine yards and	You don't have to do the whole thing.	911
contradiction	right right don't go through the whole nine yards and	You need to go through the whole thing.	912
entailment	um no i live off campus	I do not live on campus.	913
neutral	um no i live off campus	I live a few block away from campus.	914
contradiction	um no i live off campus	I live on campus.	915
entailment	men um free of the charge one guy went in stabbed his ex-wife to death because she was sleeping with another guy i mean ex-wife you know we're talking and	A man killed his ex wife for sleeping with another guy after being freed from a prior charge.	919
